,content
question,Credit Card General Asked by AnonymousAsked on 28 Aug 2018What are some of your good hacks with GrabPay?Trying to hit my credit card minimum ($600) but also don't want to overspend. Thinking of topping up to GrabPay to hit the minimum at the end of the month. Are there any other tips and tricks to fully utilise the e-wallet?6 answersAnswerBump8
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated on 07 Jun 2019This is a good idea :)  To hit your min spend.​In fact, the best hack around GrabPay is to use it at all the merchants which accept it to collect points. (and of course, needless to say when you actually take grab rides)​To me, I also collected over 15,000 GrabRewards points and have redeemed close to $60 worth of GRAB vouchers with these points for my rides. So I guess that's a hack? ​Quite easy to use also when I dont carry cash around alot every where nowadays.2 comments11"
2,"Eric Chia28 Aug 2018And look out for top up bonus when Grab does them! Though they haven't been doing so since Uber went burst.Kenneth Lou29 Aug 2018Yup! Haha now they very stingy :( but no choice, that's a business model for them lol"
3,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 29 Aug 2018There's a variety of ""hacks"" to hit the min card spend:​Grabpay top up $20 sometimes when there's deal on their page. Use cardup.co tie with my credit card and use it to pay a variety such as Rent, Season parking, car / education loan, insurance, income tax, property tax, condo fee. This will help you hit $500 and more already. Just make sure you card yields cash back more than 2.6% cash back or more points worth. (Due to card up levied 2.6% fee) When go restaurant or even Hawker, check if any Favepay pink logo, use it to pay for food / services / purchase since it will charge to your credit card. Top up Beepay if you use honestbee since their food delivery  is still ony $1 (promotional period) and no concierge fee.​Finally, all that Charmaine shared below especially use paywave function on your credit card for all food / expenses / purchase on everyday shop / supermarket and consolidate all your bills into this same card. ​Happy Spending! :) hahahaha0 comments8"
4,"Charmaine Ng, The Code Breaker at @ Every Chye Peng StallLevel 6. MasterUpdated on 07 Jun 2019Hi! If your sole purpose is just to hit the credit card minimum of $600, why don't you consider to diversify your ""portfolio""?​I am a frequent grab user and their recent change in the reward system makes me feel that they would tilt the system in their favor when the time comes so I'm not playing their point system much now.​I would suggest you to look at what are some of the expenses you have now. Are you dining outside with cold hard cash now? Consider using paywave at toastbox/bread talk/food republic etc. If you frequently but bread, use your card and get the buns package card at bread talk or the drinks package at toastbox. Get all your subscriptions onto the cards. Pay your phone bills, with these credit cards.​If you frequently grab it should not be a problem for you to top up the remaining and use it up at grabpay merchants or when you grab.. but if there's still a gap and you do use home delivery for food, groceries and laundry consider using honestbee. They have beepay which you can top up and utilize later too.​Hope this helps!​2 comments6"
5,Kenneth Lou29 Aug 2018This is a solid idea! haha 'diversification' into other digital wallets!Charmaine Ng29 Aug 2018Hahaha diversify your investments...! 🤣
6,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 16 Apr 2019The recent slew of Grabfood promo codes! It seems that utilizing Grabfood seems to avail more points, and they have been having discounts up to 50%!0 comments5"
7,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 29 Sep 2018  Not related to the spending but I think you can consider getting The memberships below. I’m on liveup and every 10 ride gets a 10 dollar voucher which I think it pretty good.​​score on the other hand is a MAYBE depends On your spending habbits at NTUC and with grab Score liveup 0 comments3"
8,Shun OhLevel 3. WonderkidAnswered on 05 Sep 2018One disadvantage in grabpay will be: you cannot withdraw money from grabpay. Do check out grab website for ongoing promos0 comments2
