,content
question,"Career General Asked by AnonymousAsked on 21 Sep 2018Should I be a full time tutor (au pair) with salary of $5,000 for a rich family?Hi, I am currently a full time tutor and I am asked to be a full time tutor(au pair) for a rich family. I am paid approximately 5k to be with the student in school for lessons and after school tuition lessons for approximately 3 hours. In total I am working 29.5 hours a week if I were to take up the offer. Some concerns I have are: 1) I have existing students and I might need to drop at least 80%-90% of them. 2) I am currently earning 3.7k without this student. Thanks in advance!9 answersAnswerBump0"
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 07 Jun 2019My friend is in full time tutor line, so maybe I can share some thoughts on this.Maybe let me put it down in some hours, dollars and opportunity cost for each choices:​(A) Current situations:Currently earning 3.7k monthly dividend by 26 workdays a month (rest on Sunday) = $142.30 per day. Assuming you work 4 hours (3-5pm, 7-9pm) a day, hence hourly you earn about $35.60.Total hours of work per month = 4 x 26 = 104​(B) Single student full time job offer: 5k/month29.5/week divided by 5 day week = 5.9 hrs/day or 129.8hr/month for 22 workday a month.Assuming a month of 22 days school, with your rate of $35.6, so 1 month total earnings on your current rate is $4,620.88.So if you take this job, you're:​Pros:(1) Earning a bit more about $380 more/monthly by serving only 1 customer with the more hours. Or 5k-3.7k = 1.3k more if you consider current vs future earnings.(2) Work 1 days less per week (5 day instead of 6 day week)(3) However, each day you're working 2 hours more (if you currently work 4 hrs a day)(4) Less tiring / travelling and less transport cost since don't need to travel to diffeent student place but only 1 student school/house/etc.​Cons:(1) Have to drop all existing students left 1 or 2, not easy to let go and some really needed you to learn effectively.(2) Serve 1 student/customer(parent/relative) only means you cannot take up new students, and hence even referrals also cannot take up. Like taking a break but only serve 1 customer, but it's focus and easier.(3) Serve 1 student/customer(parent/relative) only and if they are not satisfied (putting all eggs in 1 basket risk), you'll have to go back to find many new students, paying all the agent fee again and lost some agent fee $. But it also means don't have to deal with lost of initial new student cost (agent commission).(4) 1 student means lack of exposure to variety of student and training to deal with all kinds of student/parent profile for the future. On the other hand, it also means simpler life.​Conclusions:I think, you should find out more about the routine of the student and the parent's expectations, the student profile and assess yourself if you can handle him/her well and if you can accept to go with the routines.​If you can accept and are confidence that you can handle well, then consider if all the pros above is what you want and most importantly, that you can live with the cons above (or pros if seeing it the other way), to be more mentally sure to accept or reject this ""unique proposal"" :)​Cheers! All the best! :)​hi Wen Bin​Sure. I've gathered further facts you've shared @ Fb post and reply consolidated here: ​Further info and Kids profile: 1) ADHD so can have family/tutor sit in class. 2) Having PSLE next year.3) 3pm onwards. 4) Living in Sentosa5) Have to be with the boy in school for his lessons for English, math, and science and the parents will be paying me 45/hr. Then after, I will head to his house for additional lessons (around 3 hours). 6) The 5k includes only working 29.5 hours on weekdays only. 7) They might need weekends as they have 2 more children that needs additional lessons. Which adds up to approximately 7k or so per month. ​Analysis: => ADHD Means hyperactive and unable control their impulses, hence you need extra patience, energy and constantly watch their safety since it's at Sentosa either the Apartment or the double storey bungalows with own swimming pools. What they need most is routine and someone to execute it with them most of the time. => Extra 2k at 45/hr = 44.45 hours for weekend 8 days for 2 more kid.Assuming combine means 8 weekend/month hence each Sat or Sun you will work 5.56 hours (approximately 6 hours)=> Total income of 7k but it means you have to work 7 days a week! Can you do that ?Do you have love one, boyfriend, husband or kids or family? Can do manage to work 7 days a week ? =>Staying at Sentosa means they are high net worth Expat, means they are quite demanding and school holiday they will usually take month long break to go back and some even stretch longer holiday before and after school starts. => This you can ask them but most likely this will be your break time too but also down month => No income!! For this you need to save extra in normal months from the 7k to survive for the no income school holiday day with their extended stretch school holiday going back hometown. ​Summary:(1) Overall, this is an almost doubled jump from 3.7 to 7k.(2) One kid with ADHD for weekday and assume the other 2 kids on weekend is normal, but you have to pay extra attention always to the one with ADHD and execute the routine with him/her always. (3) I see this is one in a lifetime chances where if you think you can handle ADHD kids, why not have it a shot ? Since it's also an experience dealing with ADHD where you can bring about the experience to other family that look for tuition of kids with ADHD. (4) Furthermore, you still have to take care of the other 2 kids on weekend, so there's a bit of diversifications rather than all eggs in one basket.(5) Suggest if you can negotiable a min commitment month on both side, sign a contract say trial at least for 3 months to guarantee your income for jumping out and quiting on all other students for them. Any backing out from either side will have to compensate the full 3 months, this will guarantee the benefit for both side. ​Finally, just think carefully if you're willing to take up challenges handling ADHD kids. If you're willing and will not give up (at least for the 3 months contract period), then by all means go ahead! ​​​8 comments5"
2,"See all 8 comments HC Tang21 Apr 2019Hi Wen Bin. No worries. Hope some of my suggestions helps you 😀 understand your situation, seems like It tends to be like that for all types of parent as they always cancel tuition because it's never their first priority except those preparing for exam or die die must get in local school type foreigners. Maybe if income or situation is not as much or as pleasant as working for the usual parents, you can consider taking the normal students / parents, and by planning the time more flexible.HC Tang21 Apr 2019Of all is not an easy $, and you've worked hard 😀👍👌🏼 Remember to save and learn more here to invest so that when old there's enough $ for living and now do balance with some vacations to reward your hardwork 😍😋👍"
3,"Soon XiaohuiLevel 5. GeniusAnswered on 21 Sep 2018Hello,​have you calculated/taken into considerationwhether is your income gotten to be fixed between 3.7k to 5k Or it is gonna to be more???How many years will you be spending with this student???your current expenses, how much cost saving will you be acheiving. ​for point 1, I do seen people earn 10k a month  just based on tuitioning, and since we do not know the number of students you have, your subjects, and your fee, It's difficult for any one of us to comment much. ​Then if your major expenses such as food & rental (if you are renting) is covered, actually you may gain more  in long run.  ​I would suggest you list out all the pros & cons to get yourself to see the clearer picture. Hope these suggestion helps you. wish you all the best. 0 comments3"
4,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterAnswered on 21 Sep 2018According to what you are facing, is a risk factor issues.Do you want to put all the egg into one basket?By dropping so much students, u also risk dropping the word of mouth of ur good services.The amount you made from the rich is really just $1.3k more and if they dropped you, no rich will hire you again.All in all, if you feel the rich are willing to share a good tutor to their friends u might benefit from it. Will they?Hope my reply helps.If you feel this reply have Quality, please upvote and check other Quality Reply.https://seedly.sg/profile/a-kenichi-xiThank you.0 comments1"
5,"Lee JiahuiLevel 5. GeniusAnswered on 22 Sep 2018See if you have chemistry with the boy first. If have then offer a try out period of 1 week? I think it's a good opportunity to expand skill sets. As a tutor, it's not about the quantity of jobs that matter but the improvements you see in the kids. So 3 kids, if they do well, the satisfaction is not less than say 30 kids. Personally i will prefer to focus on fewer kids, i don't see it as putting all eggs in 1 basket.Then for the other 80% tuition kids, pass to a friend first ba...0 comments0"
6,"Nicholas ChanLevel 5. GeniusAnswered on 22 Sep 2018Do it. Higher income + connections! Even if this household kid grows up, if u do a good job, u might be recommended to other rich families. :) 0 comments0"
7,"Elsa GohLevel 5. GeniusAnswered on 21 Sep 2018You will be getting more. Of course you should switch.
If you do a good job, this gives you the opportunity to be au pair for other rich families as they will recommend you via word of mouth.
Also, imagine the networking opportunities.0 comments0"
8,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 21 Sep 2018Short term yes it is a good idea but not on a longer term ​risks student no longer needs help one student to generate the bulk of income it is better to have a healthy pool of many students and as they come and go there is always a replacement 0 comments0"
