,content
question,"Investments Insurance Asked by AnonymousAsked on 20 Mar 2019Should I surrender my policy or keep paying $~810/year for endowment plan?Mum bought an endowment for me, nt sure if I shld surrender when I take over in 1yrRough info:// Maturity (year) : 2050 // AnnualPremium: $810 // Premium Paid to date: $15.1k/ Payout upon maturity: $190k (140k is non-guaranteed, 50k is guaranteed)/Current Cash value: $~13kSum Assured: $50k (Death & TPD)Others: I currently am covered with H&S (100% w/ rider), intend to get WL w/ ECI, limited 25y.I only know of SSB/STI ETF in terms of investment.Any advice is greatly appreciated :) !7 answersAnswerBump1"
0,Answers (7)Sort By Most UpvoteMost UpvoteMost Recent
1,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 07 Jun 2019Currently keeping that endowment plan will give you a 7% per annum compounded return if you get 190k in 31 years.That's one hell of deal.14 comments6"
2,"See all 14 comments Hariz Arthur Maloy26 Mar 2019Andrew, to OP it is a new investment. At time of consideration he is thinking of letting it go. To continue the policy, that IRR is what he stands to gain. His IRR and his mother's IRR are different.Andrew Fong01 Apr 2019That's just sales talk to make the returns seem better than it really is. You have to be objective and look at the projected IRR for the products entire lifespan regardless of who paid what."
3,"Ming AnnLevel 3. WonderkidUpdated on 07 Jun 2019Working backwards based on the post, your mum already have paid the policy for 19 years and you have to continue for the next 31 years, probably a 50 years endowment plan. If you wish to surrender the plan, do take a look at the contract if there is any early surrender charge. Also, assuming the scenario that you do terminate the plan and get back a portion of your premium + $810, what would you do with the extra money ? Apart from investing into SSB/STI ETF.Probably you should take a look at the declared bonus yearly (if applicable) and see if this endowment plan are able to give the projected return.If the returns are decent and are higher than SSB, continuing this plan is a good move actually1 comment2"
4,"Question Poster22 Mar 2019Thanks for answering! Yup, I will try to find out what is the declared bonus yearly, and do a cost-benefits analysis on what to do with the extra money if I surrender it."
5,"Lim Wei Siang, Financial Consultant at Advisors Alliance Group - Aia FaLevel 2. RookieUpdated on 07 Jun 2019Personally, the Sum Assured for any endowment product can be seen as a bonus. Your consideration should be based on:Is the premium comfortable for you till 2050?Will the payment of this premium affect your purchase of the WL w/ ECI?How old will you be by 2050? Do you foresee yourself still working then?Endownment is a product that allows you to accumulate your wealth faster than any normal bank accounts. I would also put it across as a product that will compliment your future plans/lifestly when it matures.Therefore, you should really look into your whole portfolio first to determine how well prepared you are in other aspects and concerns. As your endowment has a longer tenure, the product’s ability to accumulate wealth through compounded interest is high and you will be able to benefit from that. But DO still go through your overall portfolio to determine your next course of action.2 comments2"
6,"Question Poster22 Mar 2019Thank you for answering! The premium is comfortable for me. I am just considering if it is worth to continue paying ~$70/mth, or use the money for other higher investment tools. Currently, I am only investing in SSB and STI ETF (via DCA). Thinking of the recent bonds offered by SIA too. To me, the payment of this premium will make me purchase a lower amount for the WL w/ ECI's death and TPD portion. I see myself working at 2050, retiring around 2055 onwards. This seems like a good policy to act as a 'bonus' to my retirement plans.Lim Wei Siang22 Mar 2019You are welcomed. 
Higher investment tools comes with their risks as well so that will be another point to consider and of course the time and effort require if you are investing it yourself.
Personally, it is quite sad to know that keeping the endowment will cause an impact to the SA you will be getting. 
I didn’t go through the review with you, so I can’t really comment on the SA amount you should be planning for.
... (more)"
7,"Zen Rogue XuanLevel 5. GeniusUpdated on 07 Jun 2019An annual premium of $810 works out to about $67.50 a month, which is pretty affordable. Assuming you are a poly diploma holder that earns about 2.8k, that works to about 2% of your pay!As you have mentioned, the guaranteed amount(50k) is much lesser than that of the bonus amount(140k). While social media is rife of horror stories about non-guaranteed amount, what you can do is to better understand your policy.The Good: the Terminal Bonus(TB) and Revisionary Bonus(RB) components. Many are unaware of the calculation of the Revisionary Bonuses (""bonus"" annual bonuses added to your policy) and the Terminal Bonus (""final"" last bonus received when you surrender, claim upon or matured, usually as a percentage of the final sum).This will affect the calculation of the returns if you are just using surrender value to estimate your maturing value as TB is a percentage of your accumulated and compounded RB(Estimated 50%-400% of compounded RB depending on surrender type and date) which can make up a big sum, especially over a long time period of 50 years!The Bad: ""Effect of Deduction"" (EOD) - think of it as a fee for protection and maintaince includes the cost of insurance, distribution cost, expenses and surrender charge. The EOD can eat away at your gains, particularly management fees. Policyholders' net return is usually (substantially) lower after taking into account management expenses, distribution and other costs such as mortality.What I would do is to call up the company and ask about EOD and past history of TB & RB. If the TB and RB are pretty decent, you can then take steps to reduce to EOD such as switching to a fund that charges a lower management fee. Since your mum have paid faithfully for you for close to two decade, it would be a shame for you to give it up!Regards,Zen6 comments1"
8,"See all 6 comments Zen Rogue Xuan05 Apr 2019Value of premium is simply the amount of premiums paidHariz Arthur Maloy05 Apr 2019No it's not. Value of premiums paid assumes a 4.75% pure return. Send me your email, I'll show you in an illustration."
