,content
question,"Savings Lifestyle Asked by Daniel LeeAsked on 09 Jan 2019Share your top personal finance tips and hacks here!Share some tips, tricks and hacks that will help others in any way with their personal finance journey! Here's a cool resource Seedly has for everyone too: https://blog.seedly.sg/read-me-first-your-personal-finance-journey-starts-with-this-article/#savings-accountThis is the task for the 9th Jan giveaway for two pairs of Seedly PFF 2019 tickets. Winners will be picked by the Seedly team and will be announced along with the next task on the Seedly Facebook Group.16 answersAnswerBump1"
0,Answers (16)Sort By Most UpvoteMost UpvoteMost Recent
1,"Lim Chun Long Jimmy, Distributor at Newbrand Organic Green TeaLevel 5. GeniusUpdated on 07 Jun 2019Circles.Life Ride for RewardsThose who commute using an EZ-Link card, you may consider installing the ""Circles.Life - Events, Rewards & Telco"" mobile app:iOSAndroidThis app gives you 10 Life Points for every ride taken on the bus or train using your EZ-Link card. These Life points can later be redeemed for the following rewards: Grab ride vouchers ($3 for 300 Life Points)Golden Village movie discounts ($2 for 200 Life Points)foodpanda food vouchers ($3 for 300 Life Points)As I have taken 79 rides to-date, I have accumulated 790 Life Points.Here are the screenshots of what the rewards redemption looks like:Assuming you take one ride from home to anywhere and then take another ride back home each day, that's 20 Life Points per day. Repeat this process for 10 days, and you will be able to redeem 1 Golden Village movie discount for 200 Life Points. 15 days to redeem either 1 Grab ride voucher or 1 foodpanda food voucher for 300 Life Points.As an additional hack, each ride transfer gives you an additional 10 Life Points! For example, supposed I'm in Yishun and I need to travel to Aperia Mall. I tried taking bus service 857 and then transfer to bus service 133 . Then, to travel from Aperia Mall to Serangoon MRT, I tried taking bus service 13 and then transfer to MRT service towards Punggol (North-East Line). The next day, I checked that 40 Life Points has been given instead of 20 Life Points!Download and install this app today for your personal finance journey!5 comments8"
2,"See all 5 comments Nicholes Wong09 Jan 2019Concession card cannot use this app and also the EZ-Link app. You can use travelsmartrewards and wink+ as they allow concession card and i think you can use all 4 at the same time to get quadruple  rewards but i not too sure is circles life app and ez link app are linked though maybe someone with a normal ez link card should try all 4 at the same time hahaha.Lim Chun Long Jimmy09 Jan 2019Hi Nicholes, in terms of linking the EZ-Link card to the app via CAN number, all cards are eligible except for the student and concession cards.

I'll give Travel Smart Rewards and WINK+ a try, to stack the rewards. Thanks."
3,"Malcolm Jia HuiLevel 3. WonderkidAnswered on 09 Jan 2019I had my first credit card last year and the first bill shocked me. I didn’t realise I have spent that much. As each transaction is not deducted immediately from my account, it makes me feel that my expenses is low along the month. (Without proper tracking of expenses of course.)Ever since, each time I charged a transaction to my credit card, I will transfer the exact amount to my DBS PayLah immediately. (Not accounting for the cashback I will earn.) And when my credit card bill is due for payment, I will transfer all the money in my DBS PayLah to my account and pay off the bill. As the bill amount will definitely be lesser than what I have transferred in total due to the cashback earned, I will treat the differences as an additional savings I have every month.This method has worked very well for me for the past few months and it’s not longer painful each time I have to pay for my credit card bills. To me, it is to treat the credit card like a debit card (transferring away what is charged to your credit card immediately to prevent overspending) but yet gaining the credit card benefits (earning cash backs & getting higher bank interest for DBS multiplier.) Hope that some of you might find this tip useful and handy. 0 comments7"
4,"Eveline LauLevel 5. GeniusUpdated on 07 Jun 2019I'm not well versed in investment so I'll focus on the small little things about saving, which people tend to overlook. Hope this can help somebody.Save with high-interest saving accountsIf you draw a regular monthly salary, there are many options - UOB One, DBS Multiplier, OCBC 360. Choose one that matches your spending pattern the most.Otherwise, you may also consider POSB Cashback Bonus. Salary is just one of the components, which would potentially make this account attractive to freelancers, housewives, people with income less than S$2,500 etc.Pay yourself firstAlways set aside a portion that you intend to save when you get your pay (or allowance, if you're a student) before you do anything else.Pay your credit card bills on timeThis is the kind of interest that you DO NOT want to have!Skip ordering a drink to compliment your meal (or after meal)A can of drink doesn't cost much (2 comments5"
5,Ck Chai09 Jan 2019I’m practicing the same 4 points as you!Eveline Lau09 Jan 2019@CK Chai actually I listed 7 points! but the system ate my post T_T and it's too painful to fill back the other points...
6,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterAnswered on 09 Jan 2019Small Savings of at least $500 starts with SSBSRS for Tax Rebate but is better to do at the end of the year and from Feb 2019 SSB is an added option.Top up MA to max and then SA if cash flows allows.Voluntary Contribution to all 3 CPF account after pt 3 less the Annual Limit.In spending on needs, get cash rebate or miles credit card, but only do it when you can afford full payment and not just pay the minimum amount and compound cc interest.High Yield Account which work with pt 5 and pump up ur Savings.All the above pts is best utilize after u saved the amount u targeted by age x and the excess is spent within the means. if not, u have to try and increase ur income and reduce ur spending.Last but not least, focus on Good Health (be Fit like me) and Affordable Hns Policy that covers all expenses.0 comments4"
7,"Daniel Lee, Growth Marketing Lead at SeedlyLevel 4. ProdigyUpdated on 07 Jun 2019I'll kick it off! Quite a simple 'hack' that most people will know. This is with regards to credit card applications and free gifts. You've seen those credit card applications that offer a free cool looking luggage that you'd really like. But wait! There's a minimum spend. The easy way to get by this would be to buy grocery vouchers with the card to hit that minimum spend, and voila! Said luggage is yours! heh! After all, we do need to buy groceries don't we? 3 comments4"
8,"See all 3 comments Daniel Lee09 Jan 2019Ooh? Not all I think? I did so for NTUC Vouchers using card, and it worked! haha! But maybe in recent times they changed the regulations?Ck Chai09 Jan 2019OIC, that's great, previously I tried to pay by card, they say cannot and I'm buying like hundreds for company function's lucky draw! Great to know that!"
9,"Alan KorLevel 5. GeniusAnswered on 09 Jan 2019Never mix insurance with investment, period.Avoid ilp and whole life as these are rubbish products.0 comments3"
10,Gabriel ThamLevel 8. WizardUpdated on 07 Jun 2019One tip is to save more money by using a piggy bank!1 comment3
11,Daniel Lee09 Jan 2019Haha! Any other saving tips sir? I hear you've got lots of tricks to share one. ;)
12,"Jean-jok KuanLevel 3. WonderkidAnswered on 09 Jan 2019always save before you spend, a little goes a long way and don't spend more than you earn. 0 comments2"
13,"Rave Ong Ci DeLevel 5. GeniusAnswered on 09 Jan 2019Unorthodox method. Learn to window shop, if possible, with an empty wallet. Why, you may ask. This is to resist temptation and without money, credit cards, etc, you can’t buy anything. Once you are conditioned to resist temptation, you can avoid impulse buying based on (e)-marketing. When you can do so, you would be able to save up a considerable sum of money. 0 comments2"
14,"Claude ChewLevel 3. WonderkidAnswered on 09 Jan 2019Break ur income into several jars such as expenses, savings, insurance, investments, assets, etc, and make sure follow strickly with the allocation.:) but im still not there yet.. haha.. says is always eaiser than done.0 comments2"
15,"Leon HengLevel 2. RookieAnswered on 09 Jan 2019Use a credit card whenever possible to earn points or miles. Use the credit card which gives the best benefits for the category of the expenses (dining, utilities, transport, entertainment, shopping and insurance (especially if it is the largest expense). Make sure you don't need to spend a minimum expenditure that is too hard to hit in order to get the significant rebate or benefit, spending over your budget just for the rebate. Never pay for annual fees, always negotiate for a fee waiver.Maintain a spreadsheet of inflows of funds and expenses under specific categories so that you can focus on how to minimise expenses/increase inflows in those areas. Over a longer period, you will have a very good idea and trend of inflows/outflows and be able to better manage your spending against your income.Read up useful websites on tips on how to put on cards to better use e.g. Milelion and learn from the experts, and Seedly of course, to discover ideas on better management of personal finance matters from like-minded individuals!if you see a reasonably promising contest on Facebook, worth your time and effort, try taking part. You might just win yourself a voucher or prize!0 comments1"
16,"Jordon ChiongLevel 2. RookieAnswered on 09 Jan 2019Always offer to pay for meals first and then collect from friends afterwards! You’ll gain on the cash back! You can also sign up for ABT with TransitLink to use your MasterCard on public transport rides! East tracking of transportation expenses and maybe earning of cash backs from the little amounts accumulated? If you’re a student or NSF, who don’t have high expenditure, loans etc with the bank, can consider for high interest savings account without no strings attached. Like CIMB FS A/C.0 comments1"
17,"Christina S SeahLevel 2. RookieAnswered on 09 Jan 2019As $5 are lesser in distribution/ come across lesser, save every $5 note that comes into your wallet. At the end of the day, put it into a piggy bank etc. You would have come up to a substantial amount by the end of the month!0 comments1"
18,"Loh Tat Tian, 2nd Hand Insurance Broker / EX-FA at Singapore Insurance Value FindingLevel 6. MasterAnswered on 09 Jan 2019I hope I am not longwinded with this but here goes.Using an analogy of a boat in the ocean. Location, goals and directionLocation(1) Seek to understand yourself first. What are your beliefs and value? Where do you stand currently.(a) in terms of income,(b) expenditure(c) habits (both good and bad) that waste, or helps you to save money.Knowing your location will help you to find the direction that you want, towards your goal.Goal(2) Seek for information (right here at Seedly), for further help (the goal you want).Ask questions and search through https://blog.seedly.sg/read-me-first-your-personal-finance-journey-starts-with-this-article/ for the information you need.Direction(3) Once you can focus on the ones you want to know, you will know the direction to go to.Read up the bite-sized articles (small step) so that you can reach your goals. Remember, its a journey (many small steps will help you) once you have goals in place.0 comments1"
