,content
question,"Investments Savings Asked by AnonymousAsked on 05 Jun 2019What should your net worth be at 30 without including CPF. I have been reading up about hitting 100k, is it realistic?15 answersAnswerBump7"
0,Answers (15)Sort By Most UpvoteMost UpvoteMost Recent
1,"John Ong ZhenxiLevel 4. ProdigyUpdated on 07 Jun 201925 years old out of university. 5 years to hit 30 years old. Each year need to save 20K. Each month need to save 1,667. If your salary is 3,000. After CPF bring home 2,400. You monthly expense need to keep to 733 dollars. I recall my Uni days I spend around 200 dollars a month including 100 for transport. After work probably still less than 400. Quite easy if you are frugal and single.4 comments14"
2,"See all 4 comments Cherie Tan07 Jun 2019To add on to this:

* Set aside savings in a high-interest savings account to prevent inflation from eating into your savings
* Topping up your CPF  Special Account account with part of your yearly bonus will be immensely helpful
* Ensure you having basic protective insurance (health, term, personal accident, criti... (more)John Ong Zhenxi07 Jun 2019That was years ago. I do contribute to my parents. I earn a bit more than 3K then. (:"
3,"ZeeeeeLevel 4. ProdigyUpdated on 08 Jun 2019I'm 20 turning 21 later this year, going University this August. and my net worth is 80k (incl bonds stocks p2p saving accounts etc)all these are savings of scholarships (edusave, moe, jc), ns earnings, and earnings from teaching music for the past 2 years. on top of that, I give my parents a monthly allowance (though I'm thinking if I should continue when uni starts). hopefully I could reach 100k by the end of the year by continue teaching and saving the uni scholarship allowance awarded to me:) yes, everyone mentions to invest.. well I do that too and going for agms and getting dividends and all is kinda cool. but I feel the true way to grow your net worth is by working hard and earning your income. it's a struggle but it'll be worth it also unlike my peers, I don't splurge on fashionable branded goods.. though I don't dress fashionably and wear the same kind of clothes daily I guess it's 先苦后甜 or suffer now enjoy later:)3 comments9"
4,"See all 3 comments Zeeeee08 Jun 2019Haha I was actually pretty unguided back then and was willing to try so I bought into numerous stocks I believed in (keppel dc reit as I believe in iot and a data centric future!). several high dividend reits such as mapletree nac. and even though someone here advised against buying bank stocks (reasoning was it makes up a huge portion of the sti etf) I still went with it anyway for both dbs and uob and the dividend returns are really good and I personally believe in their long term growth:)Zeeeee08 Jun 2019But there is definitely my equal share of mistakes made! bought keppel corp when it was all the way at the top in 2017 but well my intent is to hold long term and I do believe in the company's business fundamentals though if I were to turn back time I'd do things a little differently haha, I guess with youth comes lots of opportunities to learn! but if you wanna buy stocks don't buy into too many stocks -- it's honestly hard to keep track (+ i'm recently looking into shorter term trading too).."
5,"Joseph Sng, Chief Curator at CurateXX AsiaLevel 3. WonderkidUpdated on 10 Jun 2019It is achievable, but take lots of hardwork and discipline. I have personally achieved $100k savings (CPF not included) by age 28 (last year). I saved up most of my income, spend only on what i need, and do some side businesses all these while. Took me about 6 - 7 years in total after graduation to achieve the above, all loan paid as well.
Have resigned since last year to focus full-time on my business, and started on some investment as well. Just be discipline enough to save and send only on what you need once you start working, and i believe most people can do it too! :)2 comments8"
6,Joseph Sng06 Jun 2019Btw being single helps hahaha 😆Kenneth Lou10 Jun 2019Lol hahaha indeed.
7,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 06 Jun 2019Yes. This helps to formulate a plan to save 100k by 30, if you have 3 to 5 years with aggresive lifestyle adjustment:https://blog.seedly.sg/save-100k-years-month/Eg. Let's say you already have 10k savings, even dab in the lowest risk safest guaranteed investment into SSB at 2% p.a, monthly just need to save  $1,410.99  in 5 years to hit savings of 100k. To save 1.4k a month i wouldn't even think its too hard to achieve. Let's say one earns 3.5k, it is still very achievable without much strugglng. So, take actions now! :) Cheers!0 comments7"
8,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardAnswered on 06 Jun 2019Yes possible. I started late but 30 to hit is still possible. Of course, require sacrifice unless you earn alot.0 comments6"
